教員名,活動時間_週,就活しやすさ,文理度,ゼミの人数,院進率,3年時の内容,活動形式,取っておいた方がいい授業,教員の性格・指導方針,交流・仲の良さ,ゼミの構成,使えるリソース,外部との連携,進路
七丈直弘,〜2,,,,,,,,,,,,,
檜山敦,,,,,,,,,,,,,,
寺田麻佑,,,,,,,,,,,,,,
鈴木真介,,,,,,,,,,,,,,
今井晋,,,,,,,,,,,,,,
小町守,,,,,,,,,,,,,,
福田玄明,,,,,,,,,,,,,,
渡部敏明,,,,,,,,,,,,,,
清水千弘,,,,,,,,,,,,,,
植松良公,,,,,,,,,,,,,,
加藤諒,〜2,5,3,8,63%,輪読・コンペ,,統計関連・マーケティングとDS,,そんな仲良くない,B3×8・D1×2・D2×2,共同研究先2社(マーケ系・会計系),特になし,
欅惇志,,,,,,,,,,,,,,
城田慎一郎,,,,,,,,,,,,,,
永山晋,,,,,,,,,,,,,,
谷田川達也,,,,,,,,,,,,,,
本武陽一,,,,,,,,,,,,,,
WOO YU JIN,,,,,,,,,,,,,,
坂野遼平,,,,,,,,,,,,,,
